2014-12-15 19:45:12	--LOG DE EJECUCION--
2014-12-15 19:45:12	Ejecutando contenido
2014-12-15 19:45:20	--------------------
2014-12-16 01:20:21	Ejecutando contenido
2014-12-16 01:20:24	--------------------
2014-12-16 01:50:30	Ejecutando contenido
2014-12-16 01:50:32	--------------------
2014-12-16 01:51:37	Ejecutando activa
2014-12-16 01:52:11	SQLException	Duplicate entry '509' for key 'PRIMARY'
2014-12-16 01:52:11	SQLException	Duplicate entry '509' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '544' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '544' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '544' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '3062' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '660' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '660' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '660' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '595' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '595' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '595' for key 'PRIMARY'
2014-12-16 01:52:13	SQLException	Duplicate entry '641' for key 'PRIMARY'
2014-12-16 01:52:14	SQLException	Duplicate entry '528' for key 'PRIMARY'
2014-12-16 01:52:14	SQLException	Duplicate entry '528' for key 'PRIMARY'
2014-12-16 01:52:14	SQLException	Duplicate entry '3692' for key 'PRIMARY'
2014-12-16 01:52:14	SQLException	Duplicate entry '526' for key 'PRIMARY'
2014-12-16 01:52:15	SQLException	Duplicate entry '3573' for key 'PRIMARY'
2014-12-16 01:52:16	SQLException	Duplicate entry '534' for key 'PRIMARY'
2014-12-16 01:52:16	SQLException	Duplicate entry '590' for key 'PRIMARY'
2014-12-16 01:52:16	SQLException	Duplicate entry '3872' for key 'PRIMARY'
2014-12-16 01:52:16	SQLException	Duplicate entry '537' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '537' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '545' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '533' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '624' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '624' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '624' for key 'PRIMARY'
2014-12-16 01:52:17	SQLException	Duplicate entry '624' for key 'PRIMARY'
2014-12-16 01:52:18	SQLException	Duplicate entry '627' for key 'PRIMARY'
2014-12-16 01:52:18	SQLException	Duplicate entry '622' for key 'PRIMARY'
2014-12-16 01:52:18	SQLException	Duplicate entry '622' for key 'PRIMARY'
2014-12-16 01:52:18	SQLException	Duplicate entry '3069' for key 'PRIMARY'
2014-12-16 01:52:19	SQLException	Duplicate entry '633' for key 'PRIMARY'
2014-12-16 01:52:19	SQLException	Duplicate entry '676' for key 'PRIMARY'
2014-12-16 01:52:19	SQLException	Duplicate entry '3075' for key 'PRIMARY'
2014-12-16 01:52:19	SQLException	Duplicate entry '3294' for key 'PRIMARY'
2014-12-16 01:52:19	SQLException	Duplicate entry '3294' for key 'PRIMARY'
2014-12-16 01:52:19	SQLException	Duplicate entry '3294' for key 'PRIMARY'
2014-12-16 01:52:19	SQLException	Duplicate entry '3294' for key 'PRIMARY'
2014-12-16 01:52:20	SQLException	Duplicate entry '3295' for key 'PRIMARY'
2014-12-16 01:52:20	SQLException	Duplicate entry '702' for key 'PRIMARY'
2014-12-16 01:52:20	SQLException	Duplicate entry '3297' for key 'PRIMARY'
2014-12-16 01:52:21	SQLException	Duplicate entry '684' for key 'PRIMARY'
2014-12-16 01:52:21	SQLException	Duplicate entry '701' for key 'PRIMARY'
2014-12-16 01:52:21	SQLException	Duplicate entry '701' for key 'PRIMARY'
2014-12-16 01:52:21	SQLException	Duplicate entry '701' for key 'PRIMARY'
2014-12-16 01:52:22	SQLException	Duplicate entry '3590' for key 'PRIMARY'
2014-12-16 01:52:22	SQLException	Duplicate entry '737' for key 'PRIMARY'
2014-12-16 01:52:22	SQLException	Duplicate entry '737' for key 'PRIMARY'
2014-12-16 01:52:22	SQLException	Duplicate entry '737' for key 'PRIMARY'
2014-12-16 01:52:22	SQLException	Duplicate entry '3905' for key 'PRIMARY'
2014-12-16 01:52:22	SQLException	Duplicate entry '744' for key 'PRIMARY'
2014-12-16 01:52:23	SQLException	Duplicate entry '744' for key 'PRIMARY'
2014-12-16 01:52:23	SQLException	Duplicate entry '760' for key 'PRIMARY'
2014-12-16 01:52:24	SQLException	Duplicate entry '776' for key 'PRIMARY'
2014-12-16 01:52:25	SQLException	Duplicate entry '3301' for key 'PRIMARY'
2014-12-16 01:52:25	SQLException	Duplicate entry '863' for key 'PRIMARY'
2014-12-16 01:52:25	SQLException	Duplicate entry '863' for key 'PRIMARY'
2014-12-16 01:52:25	SQLException	Duplicate entry '863' for key 'PRIMARY'
2014-12-16 01:52:25	SQLException	Duplicate entry '840' for key 'PRIMARY'
2014-12-16 01:52:25	SQLException	Duplicate entry '3703' for key 'PRIMARY'
2014-12-16 01:52:26	SQLException	Duplicate entry '783' for key 'PRIMARY'
2014-12-16 01:52:26	SQLException	Duplicate entry '830' for key 'PRIMARY'
2014-12-16 01:52:26	SQLException	Duplicate entry '830' for key 'PRIMARY'
2014-12-16 01:52:26	SQLException	Duplicate entry '830' for key 'PRIMARY'
2014-12-16 01:52:26	SQLException	Duplicate entry '830' for key 'PRIMARY'
2014-12-16 01:52:26	SQLException	Duplicate entry '3788' for key 'PRIMARY'
2014-12-16 01:52:26	SQLException	Duplicate entry '3788' for key 'PRIMARY'
2014-12-16 01:52:27	SQLException	Duplicate entry '3457' for key 'PRIMARY'
2014-12-16 01:52:27	SQLException	Duplicate entry '806' for key 'PRIMARY'
2014-12-16 01:52:27	SQLException	Duplicate entry '802' for key 'PRIMARY'
2014-12-16 01:52:27	SQLException	Duplicate entry '801' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '794' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '794' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '794' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '794' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '836' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '836' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '881' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '881' for key 'PRIMARY'
2014-12-16 01:52:28	SQLException	Duplicate entry '3913' for key 'PRIMARY'
2014-12-16 01:52:29	SQLException	Duplicate entry '902' for key 'PRIMARY'
2014-12-16 01:52:29	SQLException	Duplicate entry '902' for key 'PRIMARY'
2014-12-16 01:52:29	SQLException	Duplicate entry '902' for key 'PRIMARY'
2014-12-16 01:52:29	SQLException	Duplicate entry '3914' for key 'PRIMARY'
2014-12-16 01:52:30	SQLException	Duplicate entry '908' for key 'PRIMARY'
2014-12-16 01:52:30	SQLException	Duplicate entry '3459' for key 'PRIMARY'
2014-12-16 01:52:30	SQLException	Duplicate entry '3459' for key 'PRIMARY'
2014-12-16 01:52:30	SQLException	Duplicate entry '930' for key 'PRIMARY'
2014-12-16 01:52:30	SQLException	Duplicate entry '930' for key 'PRIMARY'
2014-12-16 01:52:30	SQLException	Duplicate entry '930' for key 'PRIMARY'
2014-12-16 01:52:31	SQLException	Duplicate entry '930' for key 'PRIMARY'
2014-12-16 01:52:31	SQLException	Duplicate entry '937' for key 'PRIMARY'
2014-12-16 01:52:31	SQLException	Duplicate entry '1980' for key 'PRIMARY'
2014-12-16 01:52:32	SQLException	Duplicate entry '979' for key 'PRIMARY'
2014-12-16 01:52:32	SQLException	Duplicate entry '972' for key 'PRIMARY'
2014-12-16 01:52:32	SQLException	Duplicate entry '972' for key 'PRIMARY'
2014-12-16 01:52:32	SQLException	Duplicate entry '954' for key 'PRIMARY'
2014-12-16 01:52:32	SQLException	Duplicate entry '954' for key 'PRIMARY'
